Name,Email,Category,Date,Time,Location,Complaint Description
User_1,user1@example.com,Business Frauds/Email Takeover,2025-03-01,10:00 AM,City_1,Sample complaint 1 about business frauds/email takeover.
User_2,user2@example.com,Business Frauds/Email Takeover,2025-03-02,11:00 AM,City_2,Sample complaint 2 about business frauds/email takeover.
User_3,user3@example.com,Business Frauds/Email Takeover,2025-03-03,12:00 AM,City_3,Sample complaint 3 about business frauds/email takeover.
User_4,user4@example.com,Business Frauds/Email Takeover,2025-03-04,13:00 AM,City_4,Sample complaint 4 about business frauds/email takeover.
User_5,user5@example.com,Business Frauds/Email Takeover,2025-03-05,14:00 AM,City_5,Sample complaint 5 about business frauds/email takeover.
User_6,user6@example.com,Business Frauds/Email Takeover,2025-03-06,15:00 AM,City_1,Sample complaint 6 about business frauds/email takeover.
User_7,user7@example.com,Business Frauds/Email Takeover,2025-03-07,16:00 AM,City_2,Sample complaint 7 about business frauds/email takeover.
User_8,user8@example.com,Business Frauds/Email Takeover,2025-03-08,17:00 AM,City_3,Sample complaint 8 about business frauds/email takeover.
User_9,user9@example.com,Business Frauds/Email Takeover,2025-03-09,18:00 AM,City_4,Sample complaint 9 about business frauds/email takeover.
User_10,user10@example.com,Business Frauds/Email Takeover,2025-03-10,19:00 AM,City_5,Sample complaint 10 about business frauds/email takeover.
User_1,user1@example.com,Cryptocurrency Related Fraud,2025-03-01,10:00 AM,City_1,Sample complaint 1 about cryptocurrency related fraud.
User_2,user2@example.com,Cryptocurrency Related Fraud,2025-03-02,11:00 AM,City_2,Sample complaint 2 about cryptocurrency related fraud.
User_3,user3@example.com,Cryptocurrency Related Fraud,2025-03-03,12:00 AM,City_3,Sample complaint 3 about cryptocurrency related fraud.
User_4,user4@example.com,Cryptocurrency Related Fraud,2025-03-04,13:00 AM,City_4,Sample complaint 4 about cryptocurrency related fraud.
User_5,user5@example.com,Cryptocurrency Related Fraud,2025-03-05,14:00 AM,City_5,Sample complaint 5 about cryptocurrency related fraud.
User_6,user6@example.com,Cryptocurrency Related Fraud,2025-03-06,15:00 AM,City_1,Sample complaint 6 about cryptocurrency related fraud.
User_7,user7@example.com,Cryptocurrency Related Fraud,2025-03-07,16:00 AM,City_2,Sample complaint 7 about cryptocurrency related fraud.
User_8,user8@example.com,Cryptocurrency Related Fraud,2025-03-08,17:00 AM,City_3,Sample complaint 8 about cryptocurrency related fraud.
User_9,user9@example.com,Cryptocurrency Related Fraud,2025-03-09,18:00 AM,City_4,Sample complaint 9 about cryptocurrency related fraud.
User_10,user10@example.com,Cryptocurrency Related Fraud,2025-03-10,19:00 AM,City_5,Sample complaint 10 about cryptocurrency related fraud.
User_1,user1@example.com,Cyber Bullying/Stalking/Sexting,2025-03-01,10:00 AM,City_1,Sample complaint 1 about cyber bullying/stalking/sexting.
User_2,user2@example.com,Cyber Bullying/Stalking/Sexting,2025-03-02,11:00 AM,City_2,Sample complaint 2 about cyber bullying/stalking/sexting.
User_3,user3@example.com,Cyber Bullying/Stalking/Sexting,2025-03-03,12:00 AM,City_3,Sample complaint 3 about cyber bullying/stalking/sexting.
User_4,user4@example.com,Cyber Bullying/Stalking/Sexting,2025-03-04,13:00 AM,City_4,Sample complaint 4 about cyber bullying/stalking/sexting.
User_5,user5@example.com,Cyber Bullying/Stalking/Sexting,2025-03-05,14:00 AM,City_5,Sample complaint 5 about cyber bullying/stalking/sexting.
User_6,user6@example.com,Cyber Bullying/Stalking/Sexting,2025-03-06,15:00 AM,City_1,Sample complaint 6 about cyber bullying/stalking/sexting.
User_7,user7@example.com,Cyber Bullying/Stalking/Sexting,2025-03-07,16:00 AM,City_2,Sample complaint 7 about cyber bullying/stalking/sexting.
User_8,user8@example.com,Cyber Bullying/Stalking/Sexting,2025-03-08,17:00 AM,City_3,Sample complaint 8 about cyber bullying/stalking/sexting.
User_9,user9@example.com,Cyber Bullying/Stalking/Sexting,2025-03-09,18:00 AM,City_4,Sample complaint 9 about cyber bullying/stalking/sexting.
User_10,user10@example.com,Cyber Bullying/Stalking/Sexting,2025-03-10,19:00 AM,City_5,Sample complaint 10 about cyber bullying/stalking/sexting.
User_1,user1@example.com,Debit/Credit Card Fraud/SIM Swap Fraud,2025-03-01,10:00 AM,City_1,Sample complaint 1 about debit/credit card fraud/sim swap fraud.
User_2,user2@example.com,Debit/Credit Card Fraud/SIM Swap Fraud,2025-03-02,11:00 AM,City_2,Sample complaint 2 about debit/credit card fraud/sim swap fraud.
User_3,user3@example.com,Debit/Credit Card Fraud/SIM Swap Fraud,2025-03-03,12:00 AM,City_3,Sample complaint 3 about debit/credit card fraud/sim swap fraud.
User_4,user4@example.com,Debit/Credit Card Fraud/SIM Swap Fraud,2025-03-04,13:00 AM,City_4,Sample complaint 4 about debit/credit card fraud/sim swap fraud.
User_5,user5@example.com,Debit/Credit Card Fraud/SIM Swap Fraud,2025-03-05,14:00 AM,City_5,Sample complaint 5 about debit/credit card fraud/sim swap fraud.
User_6,user6@example.com,Debit/Credit Card Fraud/SIM Swap Fraud,2025-03-06,15:00 AM,City_1,Sample complaint 6 about debit/credit card fraud/sim swap fraud.
User_7,user7@example.com,Debit/Credit Card Fraud/SIM Swap Fraud,2025-03-07,16:00 AM,City_2,Sample complaint 7 about debit/credit card fraud/sim swap fraud.
